soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,tone_block_key_resp.keys,starget,Run,PartID,frameRate,ttarget,expName,date,
pi.wav,1,1,17,193,S,0,0,0,0,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,17,194,S,0,1,1,1,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,17,195,S,0,2,2,2,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,17,196,S,0,3,3,3,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,17,197,S,0,4,4,4,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,17,198,S,0,5,5,5,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,17,199,S,0,6,6,6,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,17,200,S,0,7,7,7,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,17,201,S,0,8,8,8,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,17,202,S,0,9,9,9,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,17,203,S,0,10,10,10,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,17,204,S,0,11,11,11,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,18,205,S,0,12,12,12,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,18,206,S,0,13,13,13,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,18,207,S,0,14,14,14,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,18,208,S,0,15,15,15,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,18,209,S,0,16,16,16,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,18,210,S,0,17,17,17,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,18,211,S,0,18,18,18,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,18,212,S,0,19,19,19,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,18,213,S,0,20,20,20,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,18,214,S,0,21,21,21,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,18,215,S,0,22,22,22,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,18,216,S,0,23,23,23,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,19,217,S,0,24,24,24,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,19,218,S,0,25,25,25,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,19,219,S,0,26,26,26,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,19,220,S,0,27,27,27,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,19,221,S,0,28,28,28,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,19,222,S,0,29,29,29,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,19,223,S,0,30,30,30,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,19,224,S,0,31,31,31,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,19,225,S,0,32,32,32,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,19,226,S,0,33,33,33,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,19,227,S,0,34,34,34,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,19,228,S,0,35,35,35,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,20,229,S,0,36,36,36,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,20,230,S,0,37,37,37,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,20,231,S,0,38,38,38,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,20,232,S,0,39,39,39,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,20,233,S,0,40,40,40,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,20,234,S,0,41,41,41,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,20,235,S,0,42,42,42,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,20,236,S,0,43,43,43,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,20,237,S,0,44,44,44,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,20,238,S,0,45,45,45,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,20,239,S,0,46,46,46,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,20,240,S,0,47,47,47,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,21,241,S,0,48,48,48,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,21,242,S,0,49,49,49,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,21,243,S,0,50,50,50,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,21,244,S,0,51,51,51,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,21,245,S,0,52,52,52,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,21,246,S,0,53,53,53,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,21,247,S,0,54,54,54,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,21,248,S,0,55,55,55,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,21,249,S,0,56,56,56,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,22,250,S,0,57,57,57,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,22,251,S,0,58,58,58,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,22,252,S,0,59,59,59,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,22,253,S,0,60,60,60,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,22,254,S,0,61,61,61,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,22,255,S,0,62,62,62,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,22,256,S,0,63,63,63,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,22,257,S,0,64,64,64,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,22,258,S,0,65,65,65,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,21,259,S,0,66,66,66,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,21,260,S,0,67,67,67,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,21,261,S,0,68,68,68,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bu.wav,4,1,23,262,S,0,69,69,69,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pa.wav,4,2,23,263,S,0,70,70,70,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
da.wav,4,3,23,264,S,0,71,71,71,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,22,265,S,0,72,72,72,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,22,266,S,0,73,73,73,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pu.wav,2,3,22,267,S,0,74,74,74,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ta.wav,3,1,23,268,S,0,75,75,75,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ti.wav,3,2,23,269,S,0,76,76,76,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
du.wav,3,3,23,270,S,0,77,77,77,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
pi.wav,1,1,23,271,S,0,78,78,78,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
tu.wav,1,2,23,272,S,0,79,79,79,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
bi.wav,1,3,23,273,S,0,80,80,80,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
di.wav,2,1,23,274,S,0,81,81,81,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
ba.wav,2,2,23,275,S,0,82,82,82,,,,,None,,da,1,,119.981945862,1C,auditory,2018_Feb_14_1208,
