"","trial","reaction_time","id","targ_index"
"1",11,731,"blast_c_002_lsl",1
"2",29,478,"blast_c_002_lsl",2
"3",41,839,"blast_c_002_lsl",3
"4",71,-110,"blast_c_002_lsl",4
"5",83,NA,"blast_c_002_lsl",5
"6",119,483,"blast_c_002_lsl",6
"7",155,NA,"blast_c_002_lsl",7
"8",185,1521,"blast_c_002_lsl",8
"9",197,600,"blast_c_002_lsl",9
"10",215,NA,"blast_c_002_lsl",10
"11",233,1059,"blast_c_002_lsl",11
"12",263,NA,"blast_c_002_lsl",12
"13",287,NA,"blast_c_002_lsl",13
"14",305,525,"blast_c_002_lsl",14
"15",347,1519,"blast_c_002_lsl",15
"16",371,NA,"blast_c_002_lsl",16
"17",395,NA,"blast_c_002_lsl",17
"18",431,NA,"blast_c_002_lsl",18
"19",455,1439,"blast_c_002_lsl",19
"20",479,1133,"blast_c_002_lsl",20
"21",521,1331,"blast_c_002_lsl",21
"22",539,NA,"blast_c_002_lsl",22
"23",551,1149,"blast_c_002_lsl",23
"24",563,1813,"blast_c_002_lsl",24
"25",17,-389,"blast_c_009_lsl",1
"26",53,750,"blast_c_009_lsl",2
"27",77,795,"blast_c_009_lsl",3
"28",95,627,"blast_c_009_lsl",4
"29",107,724,"blast_c_009_lsl",5
"30",131,652,"blast_c_009_lsl",6
"31",143,926,"blast_c_009_lsl",7
"32",173,558,"blast_c_009_lsl",8
"33",191,1147,"blast_c_009_lsl",9
"34",227,974,"blast_c_009_lsl",10
"35",251,484,"blast_c_009_lsl",11
"36",281,328,"blast_c_009_lsl",12
"37",311,433,"blast_c_009_lsl",13
"38",329,973,"blast_c_009_lsl",14
"39",359,334,"blast_c_009_lsl",15
"40",377,359,"blast_c_009_lsl",16
"41",389,418,"blast_c_009_lsl",17
"42",413,327,"blast_c_009_lsl",18
"43",437,986,"blast_c_009_lsl",19
"44",473,629,"blast_c_009_lsl",20
"45",485,345,"blast_c_009_lsl",21
"46",503,279,"blast_c_009_lsl",22
"47",527,813,"blast_c_009_lsl",23
"48",569,465,"blast_c_009_lsl",24
"49",11,568,"blast_c_019_lsl",1
"50",29,478,"blast_c_019_lsl",2
"51",41,601,"blast_c_019_lsl",3
"52",71,623,"blast_c_019_lsl",4
"53",83,1039,"blast_c_019_lsl",5
"54",119,1115,"blast_c_019_lsl",6
"55",155,759,"blast_c_019_lsl",7
"56",185,676,"blast_c_019_lsl",8
"57",197,651,"blast_c_019_lsl",9
"58",215,674,"blast_c_019_lsl",10
"59",233,810,"blast_c_019_lsl",11
"60",263,1388,"blast_c_019_lsl",12
"61",287,521,"blast_c_019_lsl",13
"62",305,NA,"blast_c_019_lsl",14
"63",347,878,"blast_c_019_lsl",15
"64",371,473,"blast_c_019_lsl",16
"65",395,746,"blast_c_019_lsl",17
"66",431,708,"blast_c_019_lsl",18
"67",455,688,"blast_c_019_lsl",19
"68",479,841,"blast_c_019_lsl",20
"69",521,580,"blast_c_019_lsl",21
"70",539,1094,"blast_c_019_lsl",22
"71",551,1082,"blast_c_019_lsl",23
"72",563,700,"blast_c_019_lsl",24
"73",5,551,"blast_c_028_lsl",1
"74",35,NA,"blast_c_028_lsl",2
"75",59,647,"blast_c_028_lsl",3
"76",101,926,"blast_c_028_lsl",4
"77",137,NA,"blast_c_028_lsl",5
"78",161,NA,"blast_c_028_lsl",6
"79",179,683,"blast_c_028_lsl",7
"80",209,NA,"blast_c_028_lsl",8
"81",245,900,"blast_c_028_lsl",9
"82",257,NA,"blast_c_028_lsl",10
"83",269,NA,"blast_c_028_lsl",11
"84",293,NA,"blast_c_028_lsl",12
"85",317,779,"blast_c_028_lsl",13
"86",335,NA,"blast_c_028_lsl",14
"87",365,1242,"blast_c_028_lsl",15
"88",407,866,"blast_c_028_lsl",16
"89",425,NA,"blast_c_028_lsl",17
"90",443,NA,"blast_c_028_lsl",18
"91",467,336,"blast_c_028_lsl",19
"92",491,NA,"blast_c_028_lsl",20
"93",509,726,"blast_c_028_lsl",21
"94",533,439,"blast_c_028_lsl",22
"95",557,797,"blast_c_028_lsl",23
"96",575,NA,"blast_c_028_lsl",24
"97",23,626,"blast_c_034_lsl",1
"98",47,NA,"blast_c_034_lsl",2
"99",65,1126,"blast_c_034_lsl",3
"100",89,1636,"blast_c_034_lsl",4
"101",113,859,"blast_c_034_lsl",5
"102",125,848,"blast_c_034_lsl",6
"103",149,1118,"blast_c_034_lsl",7
"104",167,NA,"blast_c_034_lsl",8
"105",203,NA,"blast_c_034_lsl",9
"106",221,NA,"blast_c_034_lsl",10
"107",239,NA,"blast_c_034_lsl",11
"108",275,1361,"blast_c_034_lsl",12
"109",299,1410,"blast_c_034_lsl",13
"110",323,1569,"blast_c_034_lsl",14
"111",341,1564,"blast_c_034_lsl",15
"112",353,865,"blast_c_034_lsl",16
"113",383,1394,"blast_c_034_lsl",17
"114",401,NA,"blast_c_034_lsl",18
"115",419,NA,"blast_c_034_lsl",19
"116",449,931,"blast_c_034_lsl",20
"117",461,876,"blast_c_034_lsl",21
"118",497,1110,"blast_c_034_lsl",22
"119",515,1075,"blast_c_034_lsl",23
"120",545,NA,"blast_c_034_lsl",24
"121",23,868,"blast_c_036_lsl",1
"122",47,365,"blast_c_036_lsl",2
"123",65,408,"blast_c_036_lsl",3
"124",89,NA,"blast_c_036_lsl",4
"125",113,393,"blast_c_036_lsl",5
"126",125,387,"blast_c_036_lsl",6
"127",149,431,"blast_c_036_lsl",7
"128",167,356,"blast_c_036_lsl",8
"129",203,419,"blast_c_036_lsl",9
"130",221,420,"blast_c_036_lsl",10
"131",239,677,"blast_c_036_lsl",11
"132",275,1222,"blast_c_036_lsl",12
"133",299,737,"blast_c_036_lsl",13
"134",323,806,"blast_c_036_lsl",14
"135",341,533,"blast_c_036_lsl",15
"136",353,390,"blast_c_036_lsl",16
"137",383,336,"blast_c_036_lsl",17
"138",401,399,"blast_c_036_lsl",18
"139",419,440,"blast_c_036_lsl",19
"140",449,562,"blast_c_036_lsl",20
"141",461,984,"blast_c_036_lsl",21
"142",497,387,"blast_c_036_lsl",22
"143",515,944,"blast_c_036_lsl",23
"144",545,439,"blast_c_036_lsl",24
"145",23,1212,"blast_c_038_lsl",1
"146",47,454,"blast_c_038_lsl",2
"147",65,NA,"blast_c_038_lsl",3
"148",89,1647,"blast_c_038_lsl",4
"149",113,505,"blast_c_038_lsl",5
"150",125,716,"blast_c_038_lsl",6
"151",149,639,"blast_c_038_lsl",7
"152",167,1566,"blast_c_038_lsl",8
"153",203,-579,"blast_c_038_lsl",9
"154",221,686,"blast_c_038_lsl",10
"155",239,716,"blast_c_038_lsl",11
"156",275,-863,"blast_c_038_lsl",12
"157",299,692,"blast_c_038_lsl",13
"158",323,1282,"blast_c_038_lsl",14
"159",341,1190,"blast_c_038_lsl",15
"160",353,1435,"blast_c_038_lsl",16
"161",383,966,"blast_c_038_lsl",17
"162",401,830,"blast_c_038_lsl",18
"163",419,878,"blast_c_038_lsl",19
"164",449,1599,"blast_c_038_lsl",20
"165",461,1469,"blast_c_038_lsl",21
"166",497,1015,"blast_c_038_lsl",22
"167",515,534,"blast_c_038_lsl",23
"168",545,NA,"blast_c_038_lsl",24
