"","trial","reaction_time","id","targ_index","scaled_rt"
"1",28,635.000000000001,"blast_c_002",1,1.91374558111482
"2",43,NA,"blast_c_002",2,NA
"3",61,NA,"blast_c_002",3,NA
"4",70,NA,"blast_c_002",4,NA
"5",79,NA,"blast_c_002",5,NA
"6",88,NA,"blast_c_002",6,NA
"7",103,NA,"blast_c_002",7,NA
"8",112,-341.999999999995,"blast_c_002",8,-1.54156481748678
"9",127,NA,"blast_c_002",9,NA
"10",145,NA,"blast_c_002",10,NA
"11",160,62.0000000000118,"blast_c_002",11,-0.112756832804001
"12",169,-278.000000000002,"blast_c_002",12,-1.31521899813112
"13",181,-156.000000000016,"blast_c_002",13,-0.883747279984399
"14",193,NA,"blast_c_002",14,NA
"15",205,NA,"blast_c_002",15,NA
"16",220,56.0000000000116,"blast_c_002",16,-0.133976753368597
"17",232,-81.9999999999936,"blast_c_002",17,-0.622034926354309
"18",244,260.000000000019,"blast_c_002",18,0.587500545827673
"19",256,NA,"blast_c_002",19,NA
"20",268,484.999999999995,"blast_c_002",20,1.38324756699992
"21",274,473.000000000023,"blast_c_002",21,1.34080772587082
"22",292,-37.0000000000061,"blast_c_002",22,-0.462885522119888
"23",304,73.0000000000075,"blast_c_002",23,-0.0738536451022581
"24",313,329.000000000008,"blast_c_002",24,0.831529632320479
"25",325,-284.000000000002,"blast_c_002",25,-1.33643891869572
"26",337,79.9999999999841,"blast_c_002",26,-0.0490970711103129
"27",355,NA,"blast_c_002",27,NA
"28",364,242.000000000019,"blast_c_002",28,0.523840784133885
"29",376,80.0000000000125,"blast_c_002",29,-0.0490970711102124
"30",385,NA,"blast_c_002",30,NA
"31",391,NA,"blast_c_002",31,NA
"32",406,NA,"blast_c_002",32,NA
"33",415,NA,"blast_c_002",33,NA
"34",427,NA,"blast_c_002",34,NA
"35",439,NA,"blast_c_002",35,NA
"36",457,NA,"blast_c_002",36,NA
"37",463,NA,"blast_c_002",37,NA
"38",475,NA,"blast_c_002",38,NA
"39",493,NA,"blast_c_002",39,NA
"40",505,NA,"blast_c_002",40,NA
"41",517,NA,"blast_c_002",41,NA
"42",523,NA,"blast_c_002",42,NA
"43",532,NA,"blast_c_002",43,NA
"44",541,NA,"blast_c_002",44,NA
"45",553,NA,"blast_c_002",45,NA
"46",568,NA,"blast_c_002",46,NA
"47",574,NA,"blast_c_002",47,NA
"48",586,NA,"blast_c_002",48,NA
"49",29,379.999999999977,"blast_c_009",1,0.471239540715031
"50",44,340.000000000032,"blast_c_009",2,0.0239983099443706
"51",62,419.999999999941,"blast_c_009",3,0.918480771485895
"52",71,390.666666666657,"blast_c_009",4,0.590503868920849
"53",80,310.666666666634,"blast_c_009",5,-0.303978592621946
"54",89,329.333333333352,"blast_c_009",6,-0.0952660182614472
"55",104,249.333333333311,"blast_c_009",7,-0.989748479804446
"56",113,259.999999999991,"blast_c_009",8,-0.870484151598628
"57",128,491.999999999944,"blast_c_009",9,1.72351498687421
"58",146,259.999999999991,"blast_c_009",10,-0.870484151598628
"59",161,307.999999999993,"blast_c_009",11,-0.333794674673083
"60",170,299.999999999955,"blast_c_009",12,-0.423242920827764
"61",182,489.333333333302,"blast_c_009",13,1.69369890482308
"62",194,NA,"blast_c_009",14,NA
"63",206,460.000000000018,"blast_c_009",15,1.36572200225803
"64",221,329.333333333352,"blast_c_009",16,-0.0952660182614472
"65",233,451.99999999998,"blast_c_009",17,1.27627375610335
"66",245,289.333333333275,"blast_c_009",18,-0.542507249033582
"67",257,259.999999999991,"blast_c_009",19,-0.870484151598628
