"","ans","subj","key","trial_order","corr"
"1","2","blast_c_002",1,1,0
"2","1","blast_c_002",1,2,1
"3","2","blast_c_002",2,3,1
"4","1","blast_c_002",1,4,1
"5","1","blast_c_002",1,5,1
"6","1","blast_c_002",1,6,1
"7","2","blast_c_002",2,7,1
"8","1","blast_c_002",2,8,0
"9","2","blast_c_002",2,9,1
"10","2","blast_c_002",2,10,1
"11","2","blast_c_002",1,11,0
"12","2","blast_c_002",1,12,0
"13","2","blast_c_002",1,13,0
"14","1","blast_c_002",2,14,0
"15","2","blast_c_002",2,15,1
"16","1","blast_c_002",1,16,1
"17","2","blast_c_002",2,17,1
"18","1","blast_c_002",2,18,0
"19","2","blast_c_002",1,19,0
"20","1","blast_c_002",1,20,1
"21","2","blast_c_002",2,21,1
"22","2","blast_c_002",1,22,0
"23","2","blast_c_002",2,23,1
"24","2","blast_c_002",1,24,0
"25","2","blast_c_002",2,25,1
"26","2","blast_c_002",1,26,0
"27","2","blast_c_002",2,27,1
"28","2","blast_c_002",1,28,0
"29","2","blast_c_002",1,29,0
"30","2","blast_c_002",2,30,1
"31","1","blast_c_002",2,31,0
"32","1","blast_c_002",2,32,0
"33","1","blast_c_009",1,1,1
"34","1","blast_c_009",1,2,1
"35","2","blast_c_009",2,3,1
"36","1","blast_c_009",1,4,1
"37","1","blast_c_009",1,5,1
"38","1","blast_c_009",1,6,1
"39","2","blast_c_009",2,7,1
"40","2","blast_c_009",2,8,1
"41","2","blast_c_009",2,9,1
"42","2","blast_c_009",2,10,1
"43","1","blast_c_009",1,11,1
"44","1","blast_c_009",1,12,1
"45","1","blast_c_009",1,13,1
"46","2","blast_c_009",2,14,1
"47","2","blast_c_009",2,15,1
"48","1","blast_c_009",1,16,1
"49","2","blast_c_009",2,17,1
"50","2","blast_c_009",2,18,1
"51","1","blast_c_009",1,19,1
"52","1","blast_c_009",1,20,1
"53","2","blast_c_009",2,21,1
"54","1","blast_c_009",1,22,1
"55","1","blast_c_009",2,23,0
"56","1","blast_c_009",1,24,1
"57","2","blast_c_009",2,25,1
"58","1","blast_c_009",1,26,1
"59","2","blast_c_009",2,27,1
"60","1","blast_c_009",1,28,1
"61","1","blast_c_009",1,29,1
"62","2","blast_c_009",2,30,1
"63","2","blast_c_009",2,31,1
"64","2","blast_c_009",2,32,1
"65","2","blast_c_019",1,1,0
"66","1","blast_c_019",1,2,1
"67","2","blast_c_019",2,3,1
"68","1","blast_c_019",1,4,1
"69","1","blast_c_019",1,5,1
"70","2","blast_c_019",1,6,0
"71","1","blast_c_019",2,7,0
"72","2","blast_c_019",2,8,1
"73","1","blast_c_019",2,9,0
"74","2","blast_c_019",2,10,1
"75","2","blast_c_019",1,11,0
"76","1","blast_c_019",1,12,1
"77","2","blast_c_019",1,13,0
"78","1","blast_c_019",2,14,0
"79","1","blast_c_019",2,15,0
"80","1","blast_c_019",1,16,1
"81","2","blast_c_019",2,17,1
"82","1","blast_c_019",2,18,0
"83","2","blast_c_019",1,19,0
"84","1","blast_c_019",1,20,1
"85","2","blast_c_019",2,21,1
"86","1","blast_c_019",1,22,1
"87","1","blast_c_019",2,23,0
"88","1","blast_c_019",1,24,1
"89","2","blast_c_019",2,25,1
"90","1","blast_c_019",1,26,1
"91","1","blast_c_019",2,27,0
"92","2","blast_c_019",1,28,0
"93","1","blast_c_019",1,29,1
"94","1","blast_c_019",2,30,0
"95","2","blast_c_019",2,31,1
"96","2","blast_c_019",2,32,1
"97","2","blast_c_034",1,1,0
"98","2","blast_c_034",1,2,0
"99","2","blast_c_034",2,3,1
"100","2","blast_c_034",1,4,0
"101","1","blast_c_034",1,5,1
"102","1","blast_c_034",1,6,1
"103","1","blast_c_034",2,7,0
"104","1","blast_c_034",2,8,0
"105","2","blast_c_034",2,9,1
"106","1","blast_c_034",2,10,0
"107","2","blast_c_034",1,11,0
"108","1","blast_c_034",1,12,1
"109","1","blast_c_034",1,13,1
"110","2","blast_c_034",2,14,1
"111","2","blast_c_034",2,15,1
"112","2","blast_c_034",1,16,0
"113","2","blast_c_034",2,17,1
"114","1","blast_c_034",2,18,0
"115","2","blast_c_034",1,19,0
"116","1","blast_c_034",1,20,1
"117","2","blast_c_034",2,21,1
"118","1","blast_c_034",1,22,1
"119","1","blast_c_034",2,23,0
"120","1","blast_c_034",1,24,1
"121","1","blast_c_034",2,25,0
"122","2","blast_c_034",1,26,0
"123","2","blast_c_034",2,27,1
"124","2","blast_c_034",1,28,0
"125","1","blast_c_034",1,29,1
"126","2","blast_c_034",2,30,1
"127","1","blast_c_034",2,31,0
"128","2","blast_c_034",2,32,1
"129","2","blast_c_036",1,1,0
"130","1","blast_c_036",1,2,1
"131","2","blast_c_036",2,3,1
"132","2","blast_c_036",1,4,0
"133","1","blast_c_036",1,5,1
"134","2","blast_c_036",1,6,0
"135","1","blast_c_036",2,7,0
"136","1","blast_c_036",2,8,0
"137","2","blast_c_036",2,9,1
"138","1","blast_c_036",2,10,0
"139","2","blast_c_036",1,11,0
"140","1","blast_c_036",1,12,1
"141","1","blast_c_036",1,13,1
"142","2","blast_c_036",2,14,1
"143","2","blast_c_036",2,15,1
"144","1","blast_c_036",1,16,1
"145","2","blast_c_036",2,17,1
"146","2","blast_c_036",2,18,1
"147","2","blast_c_036",1,19,0
"148","1","blast_c_036",1,20,1
"149","1","blast_c_036",2,21,0
"150","2","blast_c_036",1,22,0
"151","2","blast_c_036",2,23,1
"152","1","blast_c_036",1,24,1
"153","2","blast_c_036",2,25,1
"154","2","blast_c_036",1,26,0
"155","1","blast_c_036",2,27,0
"156","1","blast_c_036",1,28,1
"157","2","blast_c_036",1,29,0
"158","2","blast_c_036",2,30,1
"159","1","blast_c_036",2,31,0
"160","2","blast_c_036",2,32,1
"161","1","blast_c_038",1,1,1
"162","1","blast_c_038",1,2,1
"163","2","blast_c_038",2,3,1
"164","2","blast_c_038",1,4,0
"165","1","blast_c_038",1,5,1
"166","1","blast_c_038",1,6,1
"167","2","blast_c_038",2,7,1
"168","2","blast_c_038",2,8,1
"169","2","blast_c_038",2,9,1
"170","2","blast_c_038",2,10,1
"171","1","blast_c_038",1,11,1
"172","2","blast_c_038",1,12,0
"173","1","blast_c_038",1,13,1
"174","2","blast_c_038",2,14,1
"175","2","blast_c_038",2,15,1
"176","2","blast_c_038",1,16,0
"177","2","blast_c_038",2,17,1
"178","2","blast_c_038",2,18,1
"179","1","blast_c_038",1,19,1
"180","2","blast_c_038",1,20,0
"181","2","blast_c_038",2,21,1
"182","1","blast_c_038",1,22,1
"183","2","blast_c_038",2,23,1
"184","2","blast_c_038",1,24,0
"185","2","blast_c_038",2,25,1
"186","1","blast_c_038",1,26,1
"187","2","blast_c_038",2,27,1
"188","1","blast_c_038",1,28,1
"189","1","blast_c_038",1,29,1
"190","2","blast_c_038",2,30,1
"191","2","blast_c_038",2,31,1
"192","2","blast_c_038",2,32,1
"193","2","blast_c_045",1,1,0
"194","1","blast_c_045",1,2,1
"195","2","blast_c_045",2,3,1
"196","1","blast_c_045",1,4,1
"197","1","blast_c_045",1,5,1
"198","1","blast_c_045",1,6,1
"199","2","blast_c_045",2,7,1
"200","2","blast_c_045",2,8,1
"201","2","blast_c_045",2,9,1
"202","2","blast_c_045",2,10,1
"203","1","blast_c_045",1,11,1
"204","1","blast_c_045",1,12,1
"205","2","blast_c_045",1,13,0
"206","2","blast_c_045",2,14,1
"207","2","blast_c_045",2,15,1
"208","1","blast_c_045",1,16,1
"209","2","blast_c_045",2,17,1
"210","2","blast_c_045",2,18,1
"211","1","blast_c_045",1,19,1
"212","1","blast_c_045",1,20,1
"213","2","blast_c_045",2,21,1
"214","1","blast_c_045",1,22,1
"215","2","blast_c_045",2,23,1
"216","2","blast_c_045",1,24,0
