"","acc_id","subj_corr"
"1","blast_c_002",0.406
"2","blast_c_019",0.531
"3","blast_c_028",0.531
"4","blast_c_034",0.406
"5","blast_c_036",0.5
"6","blast_c_038",0.406
"7","blast_c_045",0.469
"8","blast_c_059",0.438
"9","blast_c_061",0.438
"10","blast_c_071",0.688
"11","blast_c_073",0.375
"12","blast_c_081",0.406
"13","blast_c_085",0.5
"14","blast_c_088",0.469
"15","blast_c_092",0.438
"16","blast_c_095",0.625
"17","blast_c_096",0.5
"18","blast_c_097",0.531
"19","blast_c_109",0.562
"20","blast_c_121",0.625
"21","blast_c_124",0.656
"22","blast_c_147",0.469
"23","blast_c_149",0.562
"24","blast_c_168",0.469
"25","blast_c_186",0.375
"26","blast_c_193",0.562
"27","blast_c_204",0.5
"28","blast_c_206",0.562
"29","blast_c_207",0.5
"30","blast_c_209",0.5
"31","blast_c_210",0.531
"32","blast_c_213",0.469
"33","blast_c_216",0.594
"34","blast_c_150",0.625
"35","blast_c_220",0.5
"36","blast_c_224",0.438
"37","blast_c_231",0.5
"38","blast_c_232",0.688
"39","blast_c_233",0.75
"40","blast_c_265",0.625
"41","blast_c_267",0.469
"42","blast_c_268",0.5
"43","blast_c_406",0.438
"44","blast_c_409",0.688
"45","blast_c_410",0.562
"46","blast_c_420",0.438
"47","blast_c_421",0.5
"48","blast_c_423",0.438
"49","blast_c_426",0.531
"50","blast_c_428",0.75
"51","blast_c_429",0.5
"52","blast_c_438",0.375
"53","blast_c_439",0.625
"54","blast_c_440",0.688
"55","blast_c_444",0.438
"56","blast_c_449",0.594
"57","blast_c_450",0.781
"58","blast_c_451",0.688
"59","blast_c_454",0.812
"60","blast_c_457",0.656
"61","blast_c_462",0.469
"62","blast_c_467",0.531
"63","blast_c_470",0.5
"64","blast_c_475",0.5
