"","part_id","mean_entropy"
"1","blast_c_002",0.477
"2","blast_c_009",0.916
"3","blast_c_019",0.947
"4","blast_c_028",0.923
"5","blast_c_034",0.653
"6","blast_c_036",0.983
"7","blast_c_038",0.882
"8","blast_c_045",0
"9","blast_c_059",0.646
"10","blast_c_061",0.82
"11","blast_c_071",0.934
"12","blast_c_073",0.983
"13","blast_c_085",0.934
"14","blast_c_088",0.917
"15","blast_c_092",0.711
"16","blast_c_095",0.936
"17","blast_c_096",0.937
"18","blast_c_097",0.815
"19","blast_c_109",0.849
"20","blast_c_118",0.945
"21","blast_c_122",0.971
"22","blast_c_124",0.887
"23","blast_c_147",0.41
"24","blast_c_149",0.89
"25","blast_c_164",0.952
"26","blast_c_165",0.274
"27","blast_c_168",0.678
"28","blast_c_186",0.578
"29","blast_c_193",0.849
"30","blast_c_204",0.941
"31","blast_c_206",0.41
"32","blast_c_209",0.887
"33","blast_c_210",0.849
"34","blast_c_213",0.923
"35","blast_c_216",0.632
"36","blast_c_471",0.953
"37","blast_c_101",0.93
"38","blast_c_150",0.78
"39","blast_c_211",0.977
"40","blast_c_220",0.954
"41","blast_c_224",0.941
"42","blast_c_231",0.941
"43","blast_c_232",0.542
"44","blast_c_233",0.136
"45","blast_c_265",0
"46","blast_c_267",0.475
"47","blast_c_268",0.816
"48","blast_c_406",0.977
"49","blast_c_409",0.656
"50","blast_c_410",0.883
"51","blast_c_420",0.93
"52","blast_c_423",0.68
"53","blast_c_426",0.136
"54","blast_c_427",0.716
"55","blast_c_428",0.906
"56","blast_c_429",0.953
"57","blast_c_438",0
"58","blast_c_439",0.542
"59","blast_c_440",0.894
"60","blast_c_444",0.475
"61","blast_c_449",0.977
"62","blast_c_450",0.713
"63","blast_c_451",0.136
"64","blast_c_454",0.827
"65","blast_c_456",0.475
"66","blast_c_457",0.93
"67","blast_c_461",0.792
"68","blast_c_462",0.977
"69","blast_c_467",0.811
"70","blast_c_468",0.977
"71","blast_c_469",0.977
"72","blast_c_470",0.847
"73","blast_c_475",0.977
"74","blast_c_476",0
"75","blast_c_478",0.847
"76","blast_c_479",0.272
"77","blast_c_481",0.727
"78","blast_c_483",0.475
"79","blast_c_484",0
"80","blast_c_485",0.863
"81","blast_c_487",0.93
"82","blast_c_488",0.644
"83","blast_c_491",0.919
"84","blast_c_492",0.475
"85","blast_c_493",0.883
"86","blast_c_497",0.966
"87","blast_c_498",0.941
"88","blast_c_499",0.93
"89","blast_c_503",0.827
"90","blast_c_512",0.78
"91","blast_c_515",0.703
"92","blast_c_516",0.577
"93","blast_c_520",0.816
"94","blast_c_522",0.954
"95","blast_c_540",0.677
"96","blast_c_549",0.953
"97","blast_c_554",0.883
"98","blast_c_555",0.646
