"","par_id","mean_rt","scaled_rt_slope","d_prime","this_targets","hits","hit_rate","misses","miss_rate","corr_rej","corr_rej_rate","false_alarms","false_alarm_rate","distractors","total_disc","resp_acc","total_stimuli"
"1","blast_c_002_lsl","967.333","0.085","2.33606807430757","24","15","0.625","9","0.375","493","0.978","11","0.022","504","528","0.92","576"
"2","blast_c_009_lsl","580.708","-0.008","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"3","blast_c_019_lsl","769.261","0.027","3.99185338745162","24","23","0.958","1","0.042","498","0.988","6","0.012","504","528","0.944","576"
"4","blast_c_028_lsl","741","-0.013","2.51495487780253","24","12","0.5","12","0.5","501","0.994","3","0.006","504","528","0.929","576"
"5","blast_c_034_lsl","1148","0.013","2.41147969594274","24","16","0.667","8","0.333","492","0.976","12","0.024","504","528","0.92","576"
"6","blast_c_036_lsl","561","0.023","3.99185338745162","24","23","0.958","1","0.042","498","0.988","6","0.012","504","528","0.944","576"
"7","blast_c_038_lsl","844.955","0.024","3.36374652374792","24","22","0.917","2","0.083","492","0.976","12","0.024","504","528","0.931","576"
"8","blast_c_045_lsl","551.458","0.01","Inf","24","24","1","0","0","503","0.998","1","0.002","504","528","0.955","576"
"9","blast_c_059_lsl","869.812","0.067","3.08548633263578","24","16","0.667","8","0.333","502","0.996","2","0.004","504","528","0.938","576"
"10","blast_c_061_lsl","837.304","0.07","3.83182988896672","24","23","0.958","1","0.042","495","0.982","9","0.018","504","528","0.938","576"
"11","blast_c_071_lsl","471.565","-0.016","3.99185338745162","24","23","0.958","1","0.042","498","0.988","6","0.012","504","528","0.944","576"
"12","blast_c_073_lsl","412.727","0.05","3.26729854988306","24","22","0.917","2","0.083","489","0.97","15","0.03","504","528","0.926","576"
"13","blast_c_088_lsl","817.882","-0.084","3.06347716050063","24","17","0.708","7","0.292","501","0.994","3","0.006","504","528","0.938","576"
